18201,"ｽﾐﾄﾓｾｲﾒｲﾎｹﾝ ｿｳｺﾞｶﾞｲｼﾔ ﾌｸｲｼｼﾔ","住友生命保険　相互会社　福井支社","福井県","福井市","大手","３丁目４－７","9108630","910  ","福井中央",0,0,1
20201,"ｲﾂﾊﾟﾝｼﾔﾀﾞﾝﾎｳｼﾞﾝ ﾅｶﾞﾉｹﾝｲｼｶｲ","一般社団法人　長野県医師会","長野県","長野市","若里","７－１－５","3808571","380  ","長野中央",0,0,1
20202,"ｴﾌｴﾑﾏﾂﾓﾄ ｶﾌﾞｼｷｶﾞｲｼﾔ","エフエムまつもと　株式会社","長野県","松本市","筑摩","１－１１－３０","3908550","390  ","松本",0,0,1
23207,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾕ-ｴ-ｼ-ｼﾞｴ-ﾄﾞｳｶﾝ","株式会社　ＵＡＣＪ銅管","愛知県","豊川市","大木町","新道１００","4411295","44112","豊川",0,0,1
24324,"ｲｵﾝﾓ-ﾙ ﾄｳｲﾝ","イオンモール　東員","三重県","員弁郡東員町","大字長深","字築田５１０－１","5110298","51102","東員",0,0,1
25202,"ﾌｼﾞﾉｼﾖｸﾋﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","フジノ食品　株式会社","滋賀県","彦根市","東沼波町","１７２－２","5228505","522  ","彦根",0,0,1
27127,"ｺｳｱﾂｶﾞｽｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","高圧ガス工業　株式会社","大阪府","大阪市北区","中崎西","２丁目４番１２号梅田センタービル２８階","5308411","530  ","大阪北",0,0,1
27128,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾃﾞｲﾅ","株式会社　セディナ","大阪府","大阪市中央区","今橋","４－４－７京阪神淀屋橋ビル","5418572","541  ","大阪東",0,0,1
27210,"ｴﾙﾈﾂﾄ ﾊﾟﾄﾞｼﾞｷﾞﾖｳﾌﾞ","エルネット　ぱど事業部","大阪府","枚方市","三矢町","５－１８メゾン枚方ビル１Ｆ","5738510","573  ","枚方",0,0,1
27210,"ｶﾝｻｲﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶｲｼﾔ ﾋﾗｶﾀｴｲｷﾞﾖｳｼﾖ","関西電力　株式会社　枚方営業所","大阪府","枚方市","東田宮","１－１－６","5738556","573  ","枚方",0,0,1
27213,"ﾌｼﾞｾｲﾕ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾝﾅﾝｼﾞｷﾞﾖｳｼﾖ","不二製油　株式会社　阪南事業所","大阪府","泉佐野市","住吉町","１－１","5988540","598  ","泉佐野",0,0,1
28201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾘﾏﾘﾋﾞﾝｸﾞｼﾝﾌﾞﾝｼﾔ","株式会社　播磨リビング新聞社","兵庫県","姫路市","安田","一丁目５８番地４","6708503","670  ","姫路",0,0,1
28226,"ｱﾜｼﾞｼ ｲﾜﾔｼﾞﾑｼﾖ","淡路市　岩屋事務所","兵庫県","淡路市","岩屋","１５１４番地１８","6562492","656  ","岩屋",0,0,1
34102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲｽﾞﾐ","株式会社　イズミ","広島県","広島市東区","二葉の里","３丁目３－１","7328555","732  ","広島東",0,0,1
34102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾕﾒｶ-ﾄﾞ","株式会社　ゆめカード","広島県","広島市東区","二葉の里","３丁目３－１","7328570","732  ","広島東",0,0,1
37201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｴｲｺﾝﾃﾝﾂ","株式会社　Ｊコンテンツ","香川県","高松市","国分寺町新名","６９４－１","7618589","76901","高松南",0,2,1
37201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｴｲｺﾝﾃﾝﾂ","株式会社　Ｊコンテンツ","香川県","高松市","国分寺町新名","６９４－１","7618588","76901","高松南",0,1,1
37203,"ｲｵﾝﾘﾃ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ ｲｵﾝｻｶｲﾃﾞｼﾃﾝ","イオンリテール　株式会社　イオン坂出支店","香川県","坂出市","京町","１丁目４－１８","7628505","762  ","坂出",0,0,1
37324,"ｼﾏﾉｶ ｶﾌﾞｼｷｶﾞｲｼﾔ","島乃香　株式会社","香川県","小豆郡小豆島町","馬木","甲１８２","7614494","761  ","内海",0,0,1
37324,"ﾓﾘﾀ ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾖｳﾄﾞｼﾏｺｳｼﾞﾖｳ","盛田　株式会社　小豆島工場","香川県","小豆郡小豆島町","苗羽","甲１８５０（内海郵便局私書箱第２号）","7614498","761  ","内海",1,0,1
38201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅﾂｸｽ","株式会社　カナックス","愛媛県","松山市","問屋町","４－２３松山卸商センター２階","7918672","791  ","松山西",0,0,1
39201,"ｺｳﾁﾋｶﾞｼｹｲｻﾂｼﾖ","高知東警察署","高知県","高知市","大津","乙８０７－１","7818588","781  ","高知東",0,0,1
