13103,"ﾐﾂｲﾉｳﾘﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","三井農林　株式会社","東京都","港区","西新橋","１丁目２－９","1058427","105  ","芝",0,0,5
13103,"ﾕ-ｼ-ｼ-ｳｴｼﾏｺ-ﾋ- ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳﾎﾝﾌﾞ","ＵＣＣ上島珈琲　株式会社　東京本部","東京都","港区","浜松町","１丁目１８－１６","1058577","105  ","芝",0,0,5
13103,"ｽﾐﾄﾓｷﾝｿﾞｸｺｳｻﾞﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","住友金属鉱山　株式会社","東京都","港区","新橋","５丁目１１－３（芝郵便局私書箱第２６号）","1058716","10500","芝",1,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅﾃﾞﾝ","株式会社　カナデン","東京都","港区","新橋","４丁目２２－４（芝郵便局私書箱第２号）","1058687","10591","芝",1,0,5
13103,"ｷｷﾞﾖｳﾈﾝｷﾝﾚﾝｺﾞｳｶｲ","企業年金連合会","東京都","港区","芝公園","２丁目４－１秀和芝パークビルＢ館１０階（芝郵便局私書箱第６３号）","1058702","10591","芝",1,0,5
13103,"ｷｷﾞﾖｳﾈﾝｷﾝﾚﾝｺﾞｳｶｲ","企業年金連合会","東京都","港区","芝公園","２丁目４－１秀和芝パークビルＢ館１０階（芝郵便局私書箱第５４号）","1058701","10591","芝",1,0,5
13103,"ｼﾖｳｺｳｸﾐｱｲﾁﾕｳｵｳｷﾝｺ ﾄｳｷﾖｳｼﾃﾝ","商工組合中央金庫　東京支店","東京都","港区","芝大門","２丁目１２－１８（芝郵便局私書箱第２６３号）","1058689","10591","芝",1,0,5
13103,"ﾖｺﾊﾏｺﾞﾑ ｶﾌﾞｼｷｶﾞｲｼﾔ","横浜ゴム　株式会社","東京都","港区","新橋","５丁目３６－１１（芝郵便局私書箱第４６号）","1058685","10591","芝",1,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾙ","株式会社　エル","東京都","港区","南麻布","３丁目６－３","1068562","106  ","芝",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾀﾞﾌﾞﾘﾕ-･ﾃﾞｲ-･ｱｲ","株式会社　ＷＤＩ","東京都","港区","六本木","５丁目５－１ロアビル８Ｆ","1068522","106  ","芝",0,0,5
13103,"ﾃﾚﾋﾞｱｻﾋ","テレビ朝日","東京都","港区","六本木","１丁目１－１","1068001","106  ","芝",0,0,5
13103,"ﾐﾅﾄｸｱｻﾞﾌﾞｼｼﾖ","港区麻布支署","東京都","港区","六本木","５丁目１６－４５","1068515","106  ","芝",0,0,5
13103,"ﾕｳｹﾞﾝｶﾞｲｼﾔ ｴﾘｶｲﾝﾀ-ﾅｼﾖﾅﾙ","有限会社　エリカインターナショナル","東京都","港区","元麻布","２丁目１－２０２Ｆ","1068665","106  ","芝",0,0,5
13103,"ｺｳﾜﾌﾄﾞｳｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎﾝﾃﾝ","興和不動産　株式会社　本店","東京都","港区","西麻布","４丁目１２－２４（芝郵便局私書箱第６７号）","1068685","10691","麻布",1,0,5
13103,"ﾆﾎﾝｱｲ･ﾋﾞ-･ｴﾑ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本アイ・ビー・エム　株式会社","東京都","港区","六本木","３丁目２－１２（芝郵便局私書箱第４４号）","1068711","10691","麻布",1,0,5
13103,"ｴｲｾｲﾃﾞｼﾞﾀﾙｵﾝｶﾞｸﾎｳｿｳ ｶﾌﾞｼｷｶﾞｲｼﾔ (ｾﾝﾄ･ｷﾞｶﾞ)","衛星デジタル音楽放送　株式会社　（セント・ギガ）","東京都","港区","赤坂","４丁目３－２８ディアプラザ赤坂３０１号","1078338","107  ","赤坂",0,0,5
13103,"ｴｲﾍﾞﾂｸｽ･ｴﾝﾀﾃｲﾝﾒﾝﾄ ｶﾌﾞｼｷｶﾞｲｼﾔ","エイベックス・エンタテインメント　株式会社","東京都","港区","南青山","３丁目１－３０住友生命青山ビル８階","1078577","107  ","赤坂",0,0,5
13103,"ｴｲﾍﾞﾂｸｽ･ﾏ-ｹﾃｲﾝｸﾞ･ｺﾐﾕﾆｹ-ｼﾖﾝｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","エイベックス・マーケティング・コミュニケーションズ　株式会社","東京都","港区","南青山","３丁目１－３１大手町建物ビル５階","1078557","107  ","赤坂",0,0,5
13103,"ｴｽｴｽｾｲﾔｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","エスエス製薬　株式会社","東京都","港区","赤坂","４丁目２－６","1078589","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｸｼｳﾞ","株式会社　アクシヴ","東京都","港区","南青山","３丁目１－３０住友生命青山ビル","1078552","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｻﾋﾃﾞ-ﾀｻ-ﾋﾞｽ","株式会社　朝日データサービス","東京都","港区","南青山","２丁目９－２ＡＳビル２階","1078567","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｹｲｻﾞｲｶｲ","株式会社　経済界","東京都","港区","南青山","２丁目１３－１８","1078588","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｽﾀ-ﾄ･ﾌﾛﾑ･ｾﾞﾛ","株式会社　スタート・フロム・ゼロ","東京都","港区","北青山","３丁目５－１２青山クリスタルビル７階","1078622","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾｲｶﾂｶｶﾞｸｹﾝｷﾕｳｼﾞﾖ","株式会社　生活科学研究所","東京都","港区","南青山","４丁目２０－１９","1078565","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾｲｼﾖｳｼﾔ","株式会社　青松社","東京都","港区","南青山","２丁目３－４","1078543","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｿ-ｺﾞ-ﾄｳｷﾖｳ","株式会社　ソーゴー東京","東京都","港区","南青山","３丁目８－３６宮忠ビル２Ｆ","1078355","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳ-ﾏﾂｸｽ","株式会社　トゥーマックス","東京都","港区","南青山","３丁目１－３１大手町建物ビル５階","1078575","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾐﾏﾂ","株式会社　三松","東京都","港区","南青山","６丁目１１－１スリーエフ南青山ビル","1078551","107  ","赤坂",0,0,5
13103,"ｽﾐﾄﾓﾃﾞﾝｷｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","住友電気工業　株式会社","東京都","港区","元赤坂","１丁目３番１３号赤坂センタービルディング","1078468","107  ","赤坂",0,0,5
13103,"ｾﾞﾝｺｸｷﾖｳｻｲﾉｳｷﾞﾖｳｷﾖｳﾄﾞｳｸﾐｱｲﾚﾝｺﾞｳｶｲ","全国共済農業協同組合連合会","東京都","港区","赤坂","２丁目１７－２２赤坂ツインタワー","1078530","107  ","赤坂",0,0,5
13103,"ｿﾌﾄﾊﾞﾝｸﾊﾟﾌﾞﾘﾂｼﾝｸﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","ソフトバンクパブリッシング　株式会社","東京都","港区","赤坂","４丁目１３番１３号","1078331","107  ","赤坂",0,0,5
13103,"ﾁﾕｳｵｳﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","中央物産　株式会社","東京都","港区","南青山","２丁目５－１７－６Ｆ","1078545","107  ","赤坂",0,0,5
13103,"ﾅﾝｶｲﾀﾂﾑﾗｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｷﾖｳｼﾃﾝ","南海辰村建設　株式会社　東京支店","東京都","港区","赤坂","１丁目９－２０第１６興和ビル北館","1078611","107  ","赤坂",0,0,5
13103,"ﾕｳｹﾞﾝｶﾞｲｼﾔ ｳﾄﾞ-ｵﾝｶﾞｸｼﾞﾑｼﾖ","有限会社　ウドー音楽事務所","東京都","港区","北青山","３丁目５－１２","1078642","107  ","赤坂",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｾﾝﾃﾞﾝｶｲｷﾞ(ﾎﾝｼﾔ)","株式会社　宣伝会議（本社）","東京都","港区","南青山","３丁目１３－１６","1078335","10700","赤坂",0,0,5
13103,"ｳｴｱ-ﾊｳｻﾞ-.ｼﾞﾔﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ウェアーハウザー・ジャパン　株式会社","東京都","港区","北青山","１丁目２－３青山ビル（赤坂郵便局私書箱第１８号）","1078667","10791","赤坂",1,0,5
13103,"ｱｸｻｿﾝｶﾞｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","アクサ損害保険　株式会社","東京都","港区","芝浦","４丁目１９－１芝浦アークビル","1088638","108  ","高輪",0,0,5
13103,"ｲｼｽﾞｴｶｲｶﾝ (ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸﾛｳﾄﾞｳｸﾐｱｲ)","礎会館（東京電力労働組合）","東京都","港区","芝浦","３丁目１－４３","1088562","108  ","高輪",0,0,5
13103,"ｲﾄｷﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","イトキン　株式会社","東京都","港区","海岸","３丁目２２－２３","1088451","108  ","高輪",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾏｼﾞｶ ﾃｲ-ｳﾞｲ","株式会社　ＩＭＡＧＩＣＡ　ティーヴィ","東京都","港区","白金台","３丁目１９－１第３１興和ビル３階","1088644","108  ","高輪",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴｲ･ｱｲ･ｴｽ","株式会社　エイ・アイ・エス","東京都","港区","三田","１丁目４－２８三田国際ビル１６Ｆ","1088366","108  ","高輪",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾊﾞﾗﾃﾞﾝｻﾝ","株式会社　荏原電産","東京都","港区","港南","１丁目６－３４","1088467","108  ","高輪",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾔﾙﾚ","株式会社　シャルレ","東京都","港区","港南","２丁目１６－１品川イーストワンタワー５Ｆ","1088203","108  ","高輪",0,0,5
