23105,"ﾆﾂﾎﾟﾝﾕｳｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｼｾﾂｾﾝﾀ-","日本郵政　株式会社　中部施設センター","愛知県","名古屋市中村区","名駅","一丁目１番１号ＪＰタワー名古屋","4508997","450  ","名古屋西",0,0,1
23105,"ﾆﾂﾎﾟﾝﾕｳｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｳｶｲﾕｳｾｲｹﾝｺｳｶﾝﾘｾﾝﾀ-","日本郵政　株式会社　東海郵政健康管理センター","愛知県","名古屋市中村区","名駅","一丁目１番１号ＪＰタワー名古屋","4508996","450  ","名古屋西",0,0,1
23105,"ﾌｼﾞﾀﾗｼｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","藤田螺子工業　株式会社","愛知県","名古屋市中村区","名駅南","３丁目９－３","4508620","450  ","名古屋西",0,0,1
23105,"ﾏﾂｼﾀﾃﾞﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｶﾝﾘｾﾝﾀ-","松下電工　株式会社　中部管理センター","愛知県","名古屋市中村区","名駅南","２丁目７－５５","4508611","450  ","名古屋西",0,0,1
23105,"ﾐﾂｲﾌﾞﾂｻﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｼｼﾔ","三井物産　株式会社　中部支社","愛知県","名古屋市中村区","名駅南","１丁目１６－２１","4508677","450  ","名古屋西",0,0,1
23105,"ﾐﾂﾋﾞｼｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾕｳﾌﾞｼｼﾔ","三菱商事　株式会社　中部支社","愛知県","名古屋市中村区","名駅","１丁目１番４号ＪＲセントラルタワーズ（名古屋西郵便局ＪＰタワー私書箱第１２号）","4508680","450  ","名古屋西",1,0,1
23105,"ﾒｲﾃﾂｶﾝｺｳｻ-ﾋﾞｽ ｶﾌﾞｼｷｶﾞｲｼﾔ","名鉄観光サービス　株式会社","愛知県","名古屋市中村区","名駅南","２丁目１４－１９（住友生命名古屋ビル内）","4508577","450  ","名古屋西",0,0,1
23105,"ﾒｲﾃﾂｷﾖｳｼﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","名鉄協商　株式会社","愛知県","名古屋市中村区","名駅南","２丁目１４－１９","4508618","450  ","名古屋西",0,0,1
23105,"ﾒｲﾜｻﾝｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼﾃﾝ","明和産業　株式会社　名古屋支店","愛知県","名古屋市中村区","名駅","四丁目５番２８号","4508540","450  ","名古屋西",0,0,1
23105,"ﾓﾘｻﾀﾞｺｳｼﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","森定興商　株式会社","愛知県","名古屋市中村区","名駅","３丁目２２－８","4508523","450  ","名古屋西",0,0,1
23105,"ﾕｳﾁﾖｷﾞﾝｺｳ ﾅｺﾞﾔﾁﾕｳｵｳﾃﾝ","ゆうちょ銀行　名古屋中央店","愛知県","名古屋市中村区","名駅","一丁目１番１号ＪＰタワー名古屋","4508993","450  ","名古屋西",0,0,1
23113,"ﾅｺﾞﾔｼｴｲｾｲｹﾝｷﾕｳｼﾖ","名古屋市衛生研究所","愛知県","名古屋市守山区","大字下志段味","字穴ケ洞２２６６番１３２","4638585","463  ","守山",0,0,1
23202,"ｱｲﾁｹﾝｼﾝﾖｳﾎｼﾖｳｷﾖｳｶｲ ﾆｼﾐｶﾜｼﾃﾝ","愛知県信用保証協会　西三河支店","愛知県","岡崎市","上明大寺町","二丁目１３番地","4448612","444  ","岡崎",0,0,1
23233,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｼﾞﾐｲﾝｺ-ﾎﾟﾚ-ﾃﾂﾄﾞ","株式会社　フジミインコーポレーテッド","愛知県","清須市","西枇杷島町地領","２丁目１－１","4528502","452  ","名古屋西",0,0,1
23233,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾒｲﾃﾞﾝｼﾔ","株式会社　明電舎","愛知県","清須市","西枇杷島町一反五畝割","４９６－１","4528602","452  ","名古屋西",0,0,1
23233,"ｶﾞﾂｺｳﾎｳｼﾞﾝ ﾄﾖﾀﾅｺﾞﾔｾｲﾋﾞｶﾞｸｴﾝ","学校法人　トヨタ名古屋整備学園","愛知県","清須市","春日","一番割１","4528567","452  ","名古屋西",0,0,1
23233,"ｷﾖｽｼﾔｸｼﾖ","清須市役所","愛知県","清須市","須ケ口","１２３８番地","4528569","452  ","名古屋西",0,0,1
23233,"ｷﾖｽｼﾔｸｼﾖ ｷﾖｽﾁﾖｳｼﾔ","清須市役所　清洲庁舎","愛知県","清須市","清洲","１丁目６番地１","4528563","452  ","名古屋西",0,0,1
23233,"ｷﾖｽｼﾔｸｼﾖ ﾆｼﾋﾞﾜｼﾞﾏﾁﾖｳｼﾔ","清須市役所　西枇杷島庁舎","愛知県","清須市","西枇杷島町花咲","８４番地","4528503","452  ","名古屋西",0,0,1
23233,"ｷﾘﾝﾋﾞ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｺｳｼﾞﾖｳ","麒麟麦酒　株式会社　名古屋工場","愛知県","清須市","寺野","花笠１００","4528562","452  ","名古屋西",0,0,1
23233,"ｻｶｴﾘｹﾝｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","サカエ理研工業　株式会社","愛知県","清須市","西枇杷島町宮前","１丁目４８","4528501","452  ","名古屋西",0,0,1
23233,"ﾄﾂﾊﾟﾝﾌｵ-ﾑｽﾞﾄ-ｶｲ (ｶﾌﾞ)","トッパンフォームズ東海　（株）","愛知県","清須市","春日","五反地６８","4528566","452  ","名古屋西",0,0,1
23233,"ﾄﾖﾀｺﾞｳｾｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","豊田合成　株式会社","愛知県","清須市","春日","長畑１番地","4528564","452  ","名古屋西",0,0,1
23233,"ﾊﾙﾋｼｼﾖ","春日支所","愛知県","清須市","春日","振形１２９","4528565","452  ","名古屋西",0,0,1
23233,"ﾎｳﾜｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","豊和工業　株式会社","愛知県","清須市","須ケ口","１９００番地１","4528601","452  ","名古屋西",0,0,1
23233,"ﾐﾂﾋﾞｼｼﾞﾕｳｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾚｲﾈﾂｼﾞｷﾞﾖｳﾎﾝﾌﾞ","三菱重工業　株式会社　冷熱事業本部","愛知県","清須市","西枇杷島町旭","３丁目１番地","4528561","452  ","名古屋西",0,0,1
26107,"ｶﾌﾞｼｷｶｲｼﾔ ｷﾝﾃﾞﾝ ｷﾖｳﾄｼﾃﾝ","株式会社　きんでん　京都支店","京都府","京都市南区","西九条西柳ノ内町","８番地","6018560","601  ","京都中央",0,0,1
27128,"ﾊﾟﾅｿﾆﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｺﾈｸﾃｲﾂﾄﾞｿﾘﾕ-ｼﾖﾝｽﾞｼﾔ ﾜｲﾃｲｳﾞｲｷﾖｳﾊﾞｼﾋﾞﾙ","パナソニック　株式会社　コネクティッドソリューションズ社　ｙｔｖ京橋ビル","大阪府","大阪市中央区","城見","２丁目２番３３号","5408553","540  ","大阪東",0,0,1
27144,"ｼﾞｴｲｴﾂｸｽﾃｲ-ｼﾞ-ｴﾈﾙｷﾞ- ｶﾌﾞｼｷｶﾞｲｼﾔ ｻｶｲｾｲﾕｼﾖ","ＪＸＴＧエネルギー　株式会社　堺製油所","大阪府","堺市西区","築港浜寺町","１番地","5928550","592  ","浜寺",0,0,1
27207,"ﾊﾟ-ｿﾙｴ-ﾌﾞｲｼ-ﾃｸﾉﾛｼﾞ- ｶﾌﾞｼｷｶﾞｲｼﾔ","パーソルＡＶＣテクノロジー　株式会社","大阪府","高槻市","幸町","１番１号","5691194","56911","高槻北",0,0,1
27207,"ﾊﾟﾅｿﾆﾂｸﾗｲﾃｲﾝｸﾞﾃﾞﾊﾞｲｽ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾟﾅｿﾆﾂｸﾌｵﾄ･ﾗｲﾃｲﾝｸﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","パナソニックライティングデバイス　株式会社　パナソニックフォト・ライティング　株式会社","大阪府","高槻市","幸町","１番１号","5691193","56911","高槻北",0,0,1
27210,"ｷﾝｷｴｱ･ｳｵ-ﾀ- ｶﾌﾞｼｷｶｲｼﾔ","近畿エア・ウォーター　株式会社","大阪府","枚方市","中宮大池","２－１０－１","5738567","573  ","枚方",0,0,1
31202,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｻﾝﾚｲﾌ-ｽﾞ","株式会社　さんれいフーズ","鳥取県","米子市","旗ヶ崎","２１４７番地","6838506","683  ","米子",0,0,1
34101,"ﾁﾕｳｺﾞｸﾃﾞﾝﾘﾖｸﾈﾂﾄﾜ-ｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋﾛｼﾏﾈﾂﾄﾜ-ｸｾﾝﾀ-","中国電力ネットワーク　株式会社　広島ネットワークセンター","広島県","広島市中区","竹屋町","２番４２号","7308605","730  ","広島中央",0,0,1
35202,"ｲ-ｼﾞｴｲﾎ-ﾙﾃﾞｲﾝｸﾞｽ ｶﾌﾞｼｷｶﾞｲｼﾔ ｳﾍﾞｼﾞｷﾞﾖｳｼﾖ","ＥＪホールディングス　株式会社　宇部事業所","山口県","宇部市","大字藤曲","２５４８－２","7558501","755  ","宇部",0,0,1
36201,"ﾄｳｷﾖｳｶｲｼﾞﾖｳﾆﾁﾄﾞｳｶｻｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾄｸｼﾏｼﾃﾝ","東京海上日動火災保険　株式会社　徳島支店","徳島県","徳島市","寺島本町西","２丁目２２番地１","7708520","770  ","徳島中央",0,0,1
37206,"ｻﾇｷｼｷﾖｳｲｸｲｲﾝｶｲ","さぬき市教育委員会","香川県","さぬき市","寒川町石田東甲","４２５番地","7692396","76923","長尾",0,0,1
38207,"ﾅﾝﾖﾁﾎｳｷﾖｸｵｵｽﾞﾁﾖｳｼﾔ","南予地方局大洲庁舎","愛媛県","大洲市","東大洲","１７４","7958504","795  ","大洲",0,0,1
38506,"ｴﾋﾒｹﾝﾅﾝﾖﾁﾎｳｷﾖｸ ｱｲﾅﾝﾁﾖｳｼﾔ","愛媛県南予地方局　愛南庁舎","愛媛県","南宇和郡愛南町","城辺甲","２４２０","7984194","79841","御荘",0,0,1
40132,"ｼｾｲﾄﾞｳｼﾞﾔﾊﾟﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾌｸｵｶｵﾌｲｽ","資生堂ジャパン　株式会社　福岡オフィス","福岡県","福岡市博多区","博多駅前","１－１３－１","8128563","812  ","博多北",0,0,1
